boro,zipcode,cuisine_description,inspection_date,action,violation_code,violation_description,grade,inspection_type,latitude,longitude,council_district,census_tract,inspection_year,violations,vermin_types,critical_flags
Bronx,10451,American,2024-05-09,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",A,Cycle Inspection / Initial Inspection,40.826891734326,-73.926449987063,16,006300,2024,1,0,0
Bronx,10451,American,2024-05-09,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",A,Cycle Inspection / Initial Inspection,40.826891734326,-73.926449987063,16,006300,2024,1,0,0
Bronx,10451,American,2024-05-09,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,A,Cycle Inspection / Initial Inspection,40.826891734326,-73.926449987063,16,006300,2024,1,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,3,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,2,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,2,2,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,1,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,1,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,1,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,2,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,3,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,08B,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,3,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,09B,Thawing procedure improper.,A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,1,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,4,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,1,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,21,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,3,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,1,0,0
Bronx,10451,American,2024-10-18,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",A,Cycle Inspection / Initial Inspection,40.823235508315,-73.910642832531,17,014100,2024,1,0,0
Bronx,10451,American,2024-10-18,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.823235508315,-73.910642832531,17,014100,2024,1,0,0
Bronx,10451,American,2024-11-22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.827599121521,-73.925278459589,16,006300,2024,1,0,0
Bronx,10451,American,2025-01-27,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",A,Cycle Inspection / Re-inspection,40.819056613111,-73.928218180457,08,006300,2025,1,0,0
Bronx,10451,American,2025-01-27,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",A,Cycle Inspection / Re-inspection,40.819056613111,-73.928218180457,08,006300,2025,1,0,0
Bronx,10451,American,2025-01-27,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,A,Cycle Inspection / Re-inspection,40.819056613111,-73.928218180457,08,006300,2025,1,0,0
Bronx,10451,American,2025-02-14,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,A,Cycle Inspection / Initial Inspection,40.826054482451,-73.918176416007,16,017300,2025,1,0,0
Bronx,10451,American,2025-02-14,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,A,Cycle Inspection / Initial Inspection,40.826054482451,-73.918176416007,16,017300,2025,1,0,0
Bronx,10451,American,2025-02-14,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.826054482451,-73.918176416007,16,017300,2025,1,0,0
Bronx,10451,American,2025-03-05,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",A,Cycle Inspection / Re-inspection,40.81773378028,-73.924155139519,17,006500,2025,1,0,0
Bronx,10451,American,2025-03-05,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",A,Cycle Inspection / Re-inspection,40.81773378028,-73.924155139519,17,006500,2025,1,0,0
Bronx,10451,American,2025-03-05,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Re-inspection,40.81773378028,-73.924155139519,17,006500,2025,1,0,0
Bronx,10451,American,2025-04-07,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,A,Cycle Inspection / Initial Inspection,40.827302041436,-73.924288726525,16,006300,2025,1,0,0
Bronx,10451,American,2025-04-07,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",A,Cycle Inspection / Initial Inspection,40.827302041436,-73.924288726525,16,006300,2025,1,0,0
Bronx,10451,American,2025-06-02,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",A,Pre-permit (Operational) / Initial Inspection,40.821383014047,-73.930831519586,08,006300,2025,1,0,0
Bronx,10451,American,2025-06-02,Violations were cited in the following area(s).,09A,"Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE",A,Pre-permit (Operational) / Initial Inspection,40.821383014047,-73.930831519586,08,006300,2025,1,0,0
Bronx,10451,American,2025-06-17,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",A,Cycle Inspection / Initial Inspection,40.818746337462,-73.928027031652,08,006300,2025,1,0,0
Bronx,10451,American,2025-06-17,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,A,Cycle Inspection / Initial Inspection,40.818746337462,-73.928027031652,08,006300,2025,1,0,0
Bronx,10451,American,2025-07-14,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",A,Pre-permit (Operational) / Initial Inspection,40.821383014047,-73.930831519586,08,006300,2025,1,0,0
Bronx,10451,American,2025-07-14,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Pre-permit (Operational) / Initial Inspection,40.821383014047,-73.930831519586,08,006300,2025,1,0,0
Bronx,10451,American,2025-07-31,Violations were cited in the following area(s).,04C,Food worker/food vendor does not use utensil or other barrier to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,A,Cycle Inspection / Re-inspection,40.827557861039,-73.925141196877,16,006300,2025,1,0,0
Bronx,10451,American,2025-07-31,Violations were cited in the following area(s).,06B,"Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.",A,Cycle Inspection / Re-inspection,40.827557861039,-73.925141196877,16,006300,2025,1,0,0
Bronx,10451,American,2025-10-29,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",A,Cycle Inspection / Initial Inspection,40.827237441749,-73.926247254001,16,006300,2025,1,0,0
Bronx,10451,American,2025-10-29,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.827237441749,-73.926247254001,16,006300,2025,1,0,0
Bronx,10451,Bakery Products/Desserts,2024-04-03,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,A,Cycle Inspection / Initial Inspection,40.816971504674,-73.921211560273,17,006500,2024,1,0,0
Bronx,10451,Bakery Products/Desserts,2025-04-23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,A,Cycle Inspection / Re-inspection,40.816915058519,-73.922971071028,17,006500,2025,1,0,0
Bronx,10451,Bakery Products/Desserts,2025-04-23,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",A,Cycle Inspection / Re-inspection,40.816915058519,-73.922971071028,17,006500,2025,1,0,0
Bronx,10451,Bakery Products/Desserts,2025-04-23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,A,Cycle Inspection / Re-inspection,40.816915058519,-73.922971071028,17,006500,2025,1,0,0
Bronx,10451,Bakery Products/Desserts,2025-09-11,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Re-inspection,40.817741995417,-73.924126227195,17,006500,2025,1,0,0
Bronx,10451,Caribbean,2025-10-29,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",A,Cycle Inspection / Initial Inspection,40.822850202684,-73.909313714702,17,014100,2025,1,0,0
Bronx,10451,Caribbean,2025-10-29,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,A,Cycle Inspection / Initial Inspection,40.822850202684,-73.909313714702,17,014100,2025,1,0,0
Bronx,10451,Caribbean,2025-10-29,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.822850202684,-73.909313714702,17,014100,2025,1,0,0
Bronx,10451,Chicken,2024-10-10,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",A,Cycle Inspection / Initial Inspection,40.824357281332,-73.909586258112,16,018500,2024,1,0,0
Bronx,10451,Chicken,2024-10-10,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",A,Cycle Inspection / Initial Inspection,40.827102250808,-73.92516700506,16,006300,2024,1,0,0
Bronx,10451,Chicken,2024-10-10,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",A,Cycle Inspection / Initial Inspection,40.824357281332,-73.909586258112,16,018500,2024,1,0,0
Bronx,10451,Chicken,2024-10-10,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",A,Cycle Inspection / Initial Inspection,40.827102250808,-73.92516700506,16,006300,2024,1,0,0
Bronx,10451,Chicken,2024-10-10,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.827102250808,-73.92516700506,16,006300,2024,1,0,0
Bronx,10451,Chicken,2025-05-15,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",A,Cycle Inspection / Initial Inspection,40.820278445382,-73.912948302332,17,007100,2025,1,0,0
Bronx,10451,Chicken,2025-05-15,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",A,Cycle Inspection / Initial Inspection,40.820278445382,-73.912948302332,17,007100,2025,1,0,0
Bronx,10451,Chicken,2025-05-27,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,A,Cycle Inspection / Re-inspection,40.811239142983,-73.92752220465,08,005100,2025,1,0,0
Bronx,10451,Chicken,2025-05-27,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Re-inspection,40.811239142983,-73.92752220465,08,005100,2025,1,0,0
Bronx,10451,Chicken,2025-09-11,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",A,Cycle Inspection / Re-inspection,40.823267280405,-73.909157777911,17,014100,2025,1,0,0
Bronx,10451,Chicken,2025-09-11,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Re-inspection,40.823267280405,-73.909157777911,17,014100,2025,1,0,0
Bronx,10451,Chicken,2025-10-08,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,A,Cycle Inspection / Initial Inspection,40.818759413403,-73.918821294378,17,006700,2025,1,0,0
Bronx,10451,Chicken,2025-10-08,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.818759413403,-73.918821294378,17,006700,2025,1,0,0
Bronx,10451,Chicken,2025-11-03,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.819050413643,-73.927090950871,08,006300,2025,1,0,0
Bronx,10451,Chinese,2024-08-21,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,A,Cycle Inspection / Re-inspection,40.827069325705,-73.925185109102,16,006300,2024,1,1,0
Bronx,10451,Chinese,2024-08-21,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",A,Cycle Inspection / Re-inspection,40.827069325705,-73.925185109102,16,006300,2024,1,0,0
Bronx,10451,Chinese,2025-05-05,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",A,Cycle Inspection / Initial Inspection,40.824329765649,-73.909499578235,16,018500,2025,1,0,0
Bronx,10451,Chinese,2025-05-05,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.824329765649,-73.909499578235,16,018500,2025,1,0,0
Bronx,10451,Chinese,2025-06-02,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",A,Pre-permit (Operational) / Initial Inspection,40.823335867465,-73.909117939035,17,014100,2025,1,0,0
Bronx,10451,Chinese,2025-06-02,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,A,Pre-permit (Operational) / Initial Inspection,40.823335867465,-73.909117939035,17,014100,2025,1,0,0
Bronx,10451,Chinese,2025-06-02,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.",A,Pre-permit (Operational) / Initial Inspection,40.823335867465,-73.909117939035,17,014100,2025,1,0,0
Bronx,10451,Chinese,2025-06-02,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Pre-permit (Operational) / Initial Inspection,40.823335867465,-73.909117939035,17,014100,2025,1,0,0
Bronx,10451,Chinese,2025-07-14,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Not A,Cycle Inspection / Re-inspection,40.816833852113,-73.920608383547,17,006500,2025,1,0,0
Bronx,10451,Chinese,2025-07-14,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Not A,Cycle Inspection / Re-inspection,40.816833852113,-73.920608383547,17,006500,2025,1,0,0
Bronx,10451,Chinese,2025-07-14,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not A,Cycle Inspection / Re-inspection,40.816833852113,-73.920608383547,17,006500,2025,1,0,0
Bronx,10451,Chinese,2025-08-06,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,A,Cycle Inspection / Initial Inspection,40.818451894997,-73.91866992896,17,006700,2025,1,0,0
Bronx,10451,Chinese,2025-08-06,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.818451894997,-73.91866992896,17,006700,2025,1,0,0
Bronx,10451,Chinese,2025-11-05,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",A,Cycle Inspection / Initial Inspection,40.817002861187,-73.922927615102,17,006500,2025,1,0,0
Bronx,10451,Chinese,2025-11-05,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.817002861187,-73.922927615102,17,006500,2025,1,0,0
Bronx,10451,Coffee/Tea,2025-06-17,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Re-inspection,40.825678904356,-73.91881282016,16,006100,2025,1,0,0
Bronx,10451,Coffee/Tea,2025-07-03,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",A,Cycle Inspection / Initial Inspection,40.826131725179,-73.926895269087,16,006300,2025,1,0,0
Bronx,10451,Coffee/Tea,2025-07-03,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.",A,Cycle Inspection / Initial Inspection,40.826131725179,-73.926895269087,16,006300,2025,1,0,0
Bronx,10451,Coffee/Tea,2025-09-18,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",A,Cycle Inspection / Re-inspection,40.819249837743,-73.92998831559,08,006300,2025,1,0,0
Bronx,10451,Coffee/Tea,2025-09-18,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Re-inspection,40.819249837743,-73.92998831559,08,006300,2025,1,0,0
Bronx,10451,Donuts,2024-07-15,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.827711894968,-73.925646900182,16,006300,2024,1,0,0
Bronx,10451,Donuts,2024-09-24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.825678904356,-73.91881282016,16,006100,2024,1,0,0
Bronx,10451,Donuts,2025-06-05,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.821383014047,-73.930831519586,08,006300,2025,1,0,0
Bronx,10451,Donuts,2025-10-22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",A,Cycle Inspection / Initial Inspection,40.817318248923,-73.922544287116,17,006500,2025,1,0,0
Bronx,10451,Donuts,2025-10-22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.817318248923,-73.922544287116,17,006500,2025,1,0,0
Bronx,10451,Frozen Desserts,2025-07-21,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",A,Cycle Inspection / Initial Inspection,40.827332302581,-73.924393480223,16,006300,2025,1,0,0
Bronx,10451,Frozen Desserts,2025-07-21,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,A,Cycle Inspection / Initial Inspection,40.827332302581,-73.924393480223,16,006300,2025,1,0,0
Bronx,10451,Frozen Desserts,2025-07-21,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.827332302581,-73.924393480223,16,006300,2025,1,0,0
Bronx,10451,Frozen Desserts,2025-09-11,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.817880903981,-73.922518339606,17,006500,2025,1,0,0
Bronx,10451,Frozen Desserts,2025-09-11,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",A,Cycle Inspection / Initial Inspection,40.817880903981,-73.922518339606,17,006500,2025,1,0,0
